ID Produit Cave,Nom Produit (la-cave-privee),URL Produit Cave,Statut,Score Matching (%),Nom Produit Corniche,Fichier Image Local,URL Image Corniche (originale)
86,PRESTIGE 75cl - ROSE,https://www.la-cave-privee.com/fr/products/prestige-75cl-rose/details?sm=vins-locaux,✅ Matché,97.3,PRESTIGE ROSE 75 CL,prestige_rose_75_cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/PRESTIGE-ROSE-75-CL-1-410x540.png
87,PRINCE 50cl - BLANC,https://www.la-cave-privee.com/fr/products/prince-50cl-blanc/details?sm=vins-locaux,✅ Matché,72.2,PHENICIA BLANC 75CL,phenicia_blanc_75cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/PHENICIA-BLANC-75CL-1-410x540.png
88,PRINCE 50cl - ROSE,https://www.la-cave-privee.com/fr/products/prince-50cl-rose/details?sm=vins-locaux,✅ Matché,74.3,APHRODITE ROSE 75CL,aphrodite_rose_75cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/APHRODITE-ROSE-75CL-2-1-410x540.png
89,PRINCE 50cl - ROUGE,https://www.la-cave-privee.com/fr/products/prince-50cl-rouge/details?sm=vins-locaux,✅ Matché,83.3,KAPRICE ROUGE 75 CL,kaprice_rouge_75_cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/KAPRICE-ROUGE-75-CL-1-410x540.png
90,"Selian Rouge 37,5cl",https://www.la-cave-privee.com/fr/products/selian-rouge-375cl/details?sm=vins-locaux,✅ Matché,91.9,SELIAN ROUGE 75 CL,selian_rouge_75_cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/SELIAN-ROUGE-75-CL-1-410x540.png
91,"SELIAN-BLANC-37,5cl",https://www.la-cave-privee.com/fr/products/selian-blanc-375cl/details?sm=vins-locaux,✅ Matché,94.4,SELIAN BLANC 75CL,selian_blanc_75cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/SELIAN-BLANC-75CL-1-410x540.png
92,SEMMECHE 75cl - Rosé,https://www.la-cave-privee.com/fr/products/semmeche-75cl-rose/details?sm=vins-locaux,✅ Matché,68.6,SELIAN ROSE 75 CL,selian_rose_75_cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/SELIAN-ROSE-75-CL-2-410x540.png
93,"Ugni Blanc Blanc 37,5cl",https://www.la-cave-privee.com/fr/products/ugni-blanc-blanc-375cl/details?sm=vins-locaux,✅ Matché,78.9,UGNI BLANC 75CL,ugni_blanc_75cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/03/UGNI-BLANC-75CL-1-410x540.png
94,VIN DD 50cl - ROUGE,https://www.la-cave-privee.com/fr/products/vin-dd-50cl-rouge/details?sm=vins-locaux,✅ Matché,76.5,VINUM ROUGE 75 CL,vinum_rouge_75_cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/11/PHOTO-VINUM-75CL-ROUGE-410x540.png
95,VIN DD 75cl - ROUGE,https://www.la-cave-privee.com/fr/products/vin-dd-75cl-rouge/details?sm=vins-locaux,✅ Matché,82.4,VINUM ROUGE 75 CL,vinum_rouge_75_cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/11/PHOTO-VINUM-75CL-ROUGE-410x540.png
96,CHOPIN ICE - BLANC - 75CL,https://www.la-cave-privee.com/fr/products/chopin-ice-blanc-75cl/details?sm=vins-effervescents,✅ Matché,88.4,CHOPIN ICE BLANC 75 CL,chopin_ice_blanc_75_cl.png,https://boissonlacorniche.com/wp-content/uploads/2025/10/chopine-ice-blanc-410x540.png
